Assay	Library Name	Assay Date	Region	Country	Density lb/ft3	Sulfur %	KinematicViscosity @ 100 F cSt	TAN(mg KOH/g) mg KOH/g	Pour Point F	Blank
Alba-1994	Aspen Assay Library	11/1994 (ca.)	North Sea	Norway	58.5426622857604	1.32211062240069	208.950655083803	1.12792962258153	57.0741748065381	
Amal-1991	Aspen Assay Library	10/1991 (ca.)	Middle East	Egypt	52.30092676377	1.44940375957471	3.21675365093606	0.0843906857554629	65.6705426967341	
Arabian Berri-1992	Aspen Assay Library	1992	Middle East	Saudi Arabia	52.1309254901637	1.33662175887943	2.73473011847938	0.0761324720072374	43.3663561464165	
Arabian Super Light-1994	Aspen Assay Library	12/1994 (ca.)	Middle East	Saudi Arabia	48.5092369294446	0.0218878991422032	1.3638846669973	0.0588017756723463	30.0803485369837	
Ardjuna-1990	Aspen Assay Library	09/1990 (ca.)	Asia	Indonesia	51.9677230427913	0.106719030753511	2.64799499313233	0.204508916091333	90.3009378219094	
Arun-1990	Aspen Assay Library	09/21/1990 (ca.)	Asia	Indonesia	47.0591146735289	0.0302670215102084	0.768685938353168	0.0480635495972493	-15.6437128910958	
Asgard Condensate-2003	Aspen Assay Library	09/2003 (ca.)	North Sea	Norway	48.2005851731485	0.0616313868281893	0.902540879680706	0.14989303288244	47.7997007489714	
Ashtart-1996	Aspen Assay Library	10/1996 (ca.)	North Africa	Tunisia	54.2824467009658	1.09764770480918	6.46983412920518	0.0226182090806589	85.1636032579703	
Bachaquero-1995	Aspen Assay Library	03/1995 (ca.)	Latin America	Venezuela	61.3735694749609	2.80038740871755	1357.29492271765	0.936551007135891	93.9893383111852	
Bachaquero-1992	Aspen Assay Library	04/1992 (ca.)	Latin America	Venezuela	59.4949654656663	2.47046280906852	240.224577563705	1.96718118816705	60.7529147337959	
Baltim-1996	Aspen Assay Library	05/1996 (ca.)	Middle East	Egypt	49.2219939326895	0.0189544246023474	1.08478782430266	0.120374123763946	23.1618484691378	
Basrah Medium-1977	Aspen Assay Library	1977	Middle East	Iraq	54.6153087114139	3.30021031742774	7.34423666673584	0.0877039887305772	58.4283542354487	
Bombay High-1986	Aspen Assay Library	06/1986 (ca.)	Asia	India	51.7740209370513	0.12319279913729	2.46504063759158	0.0242540386002984	81.5917186210213	
Bonny Medium-1997	Aspen Assay Library	12/1997 (ca.)	West Africa	Nigeria	55.3370202668818	0.216915297306263	5.70013995226117	0.372283902478685	61.9545233631623	
BRN52-1997	Aspen Assay Library	05/26/1997 (ca.)	North Africa	Algeria	49.1682287970981	0.0323486020757229	1.89576441954687	0.0928587114980823	39.4651044797592	
Bronte Condensate-1993	Aspen Assay Library	07/1993 (ca.)	Europe	Italy	43.2789589603458	0.00261210773318507	0.614218734006893	0.0498094606511398	-167.693065357823	
Buzachinskaya-1992	Aspen Assay Library	07/1992 (ca.)	Asia	Russia	56.5549339563387	1.57663523268795	30.7464139278072	1.15133272675287	56.5674266316142	
Cabinda-2000	Aspen Assay Library	05/2000 (ca.)	West Africa	Angola	53.7213832439444	0.12433595920449	9.43623825892321	0.208283836606332	90.9517722479509	
Canadon Seco-1994	Aspen Assay Library	03/25/1994 (ca.)	Latin America	Argentina	55.9379088673614	0.183444195420282	46.3404753243484	0.390495469390695	84.5215420647661	
Candela Condensate-1993	Aspen Assay Library	04/1993 (ca.)	Europe	Italy	44.6386857610745	0.0479794838805523	0.679359571106923	0.301399980999069	-106.432138159367	
Carassai-1993	Aspen Assay Library	02/1993 (ca.)	Europe	Italy	55.8588994904763	0.474637454455079	3.61271088174552	0.201682603953454	10.4795697388228	
Casal Borsetti-1994	Aspen Assay Library	10/1994 (ca.)	Europe	Italy	55.1618013773028	2.70003168128421	3.40938327729477	0.0677563734174855	-26.0694216109457	
Cavone-1992	Aspen Assay Library	03/1992 (ca.)	Europe	Italy	56.4861355219781	2.66026081967712	30.2899588033631	0.265948570247607	88.4183464175392	
Abu Madi Condensate-1994	Aspen Assay Library	12/01/1994 (ca.)	Middle East	Egypt	46.3487845003358	0.00343827134167373	0.655563431805951	0.0535662364985958	-39.2033662316631	
Algerian Condensate-1991	Aspen Assay Library	10/18/1990 (ca.)	North Africa	Algeria	45.0613848104318	0.00140884115239964	0.61920405041407	0.0246430503862739	-63.198561405962	
East Baghdad-1996	Aspen Assay Library	10/09/1996 (ca.)	Middle East	Iraq	57.3634709930794	5.01224050743113	20.2725427107385	0.295669472616432	72.8139933049069	
Escalante B-1995	Aspen Assay Library	01/14/1995 (ca.)	Latin America	Argentina	56.7658825270042	0.20578513369239	170.922885446559	0.245209563248706	96.7135177083931	
Fao Blend-1989	Aspen Assay Library	11/17/1989 (ca.)	Middle East	Iraq	54.3886925417954	3.11225283267243	6.98473648969558	0.158323886054502	35.5308167267712	
Fornovo Condensate-1995	Aspen Assay Library	09/1995 (ca.)	Europe	Italy	45.8712331563449	0.00356346737532544	0.559894933769703	0.0577323821434747	-136.397128172417	
Gagliano Condensate-1993	Aspen Assay Library	06/1993 (ca.)	Europe	Italy	44.2787859120313	0.00275499860293047	0.587003593637968	0.0499376337827272	-83.898198753319	
Geisum-1992	Aspen Assay Library	08/06/1992 (ca.)	Middle East	Egypt	58.2057236823603	4.02328886955737	88.8090877727637	0.233040641213919	108.738140390398	
Grottammare Condensate-1993	Aspen Assay Library	02/1993 (ca.)	Europe	Italy	46.6607461361141	1.13372969416752	0.716112111152617	0.0309204444748021	-79.5860483791514	
